value,entity_type
企业法人, client
非法人企业, client
个体工商户, client
存款人, client
企业, client
金融机构客户, client
资产托管人, client
中国建设银行金融科技中心, organization
金融机构, organization
机关, organization
事业单位, organization
预算管理, organization
营业网点, organization
运营管理部, organization
总行, organization
管理部门, organization
金融机构部, organization
法律合规部, organization
财务会计部, organization
办公室, organization
网络金融部, organization
信息科技部, organization
分行, organization
作业中心, organization
营业网点, organization
法律合规部, organization
资财部, organization
中国人民银行, organization
财政部门, organization
上海浦东发展银行同业存放业务管理办法 , system
关于落实中国人民银行加强银行业金融机构人民币同业银行结算账户管理规定的通知, system
上海浦东发展银行资产托管业务托管账户管理办法, system
企业银行账户, business
银行结算账户业务, business
企业银行结算账户, business
基金, business
信托, business
资管计划, business
理财产品, business
账户业务, business
银行结算账户, business
基本存款账户, business
一般存款账户, business
专用存款账户, business
临时存款账户, business
银行结算账户, business
基本存款账户, business